Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",148.950000,-107.375000,-90.000000,bottom
"C2","0.1uF","C_0402_1005Metric",146.280000,-101.990000,90.000000,bottom
"C3","10uF","C_0603_1608Metric",147.420000,-107.380000,-90.000000,bottom
"C4","22uF","C_0805_2012Metric",150.710000,-107.565000,-90.000000,bottom
"C5","0.1uF","C_0402_1005Metric",137.500000,-103.360000,0.000000,bottom
"C6","22uF","C_0603_1608Metric",129.890000,-100.990000,90.000000,bottom
"C7","22uF","C_0603_1608Metric",128.610000,-100.990000,90.000000,bottom
"C8","75pF","C_0402_1005Metric",138.865000,-109.420000,180.000000,bottom
"C10","10uF","C_0603_1608Metric",139.530000,-102.270000,-90.000000,bottom
"C14","0.1uF","C_0603_1608Metric",143.090000,-99.070000,0.000000,bottom
"C15","22uF","C_0603_1608Metric",144.752500,-91.537500,0.000000,bottom
"C16","22uF","C_0603_1608Metric",144.752500,-92.837500,0.000000,bottom
"C37","0.1uF","C_0402_1005Metric",122.150000,-110.390000,-90.000000,bottom
"C45","30pF","C_0402_1005Metric",142.000000,-86.980000,90.000000,bottom
"C47","30pF","C_0402_1005Metric",142.000000,-88.830000,-90.000000,bottom
"C48","22uF","C_0603_1608Metric",132.340000,-85.230000,180.000000,bottom
"C49","22uF","C_0603_1608Metric",132.380000,-86.740000,180.000000,bottom
"C51","0.1uF","C_0402_1005Metric",131.420000,-88.410000,90.000000,bottom
"C52","0.1uF","C_0402_1005Metric",132.840000,-87.950000,180.000000,bottom
"C53","0.1uF","C_0402_1005Metric",142.450000,-85.570000,0.000000,bottom
"C54","0.1uF","C_0402_1005Metric",132.840000,-89.630000,180.000000,bottom
"C55","0.1uF","C_0402_1005Metric",125.560000,-92.680000,0.000000,bottom
"D1","SMF26A","D_SMF",143.487500,-109.190000,180.000000,bottom
"D2","BZT52C12-13-F","(zener)SOD-123F_L2.8-W1.8-LS3.7-RD",149.110000,-104.750000,0.000000,bottom
"J2","FPV","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",133.000000,-80.452500,0.000000,bottom
"J3","ST_LINK","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",116.530008,-89.490000,90.000000,bottom
"J4","GPS","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",141.580000,-80.440000,0.000000,bottom
"J5","Airspeed sensor","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",116.540008,-104.580000,90.000000,bottom
"J6","4in1 ESC","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",139.040000,-114.795000,180.000000,bottom
"J7","RC Receiver","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",150.502169,-92.002003,-90.000000,bottom
"J8","VTX","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",116.530008,-96.780000,90.000000,bottom
"J9","DJI","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",127.070000,-114.800000,180.000000,bottom
"J10","CAN BUS","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",125.590000,-80.452500,0.000000,bottom
"J11","CAN BUS","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",150.527500,-99.190000,-90.000000,bottom
"JP1","9V/12V","SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels",134.140000,-108.920000,0.000000,bottom
"L1","15uH","IND-SMD_L5.4-W5.2",133.660000,-101.250000,0.000000,bottom
"L2","4.7uH","IND-SMD_L4.4-W4.2",144.560000,-96.180000,180.000000,bottom
"Q1","AO3407A","AO3407A",145.280000,-105.960000,90.000000,bottom
"R3","100k","R_0402_1005Metric",143.190000,-105.160000,90.000000,bottom
"R4","49.9","R_0402_1005Metric",130.740000,-108.910000,-90.000000,bottom
"R5","100k","R_0402_1005Metric",138.860000,-108.460000,180.000000,bottom
"R5B1","7.15K","R_0402_1005Metric",136.530000,-108.920000,90.000000,bottom
"R5C1","5.23k","R_0402_1005Metric",131.770000,-108.920000,90.000000,bottom
"R6","4.42k","R_0402_1005Metric",142.160000,-107.120000,90.000000,bottom
"R7","20k","R_0402_1005Metric",143.180000,-107.120000,-90.000000,bottom
"R8","0","R_0402_1005Metric",141.100000,-107.110000,-90.000000,bottom
"R20","10k","R_0402_1005Metric",124.140000,-99.650000,180.000000,bottom
"R21","10k","R_0402_1005Metric",124.020000,-109.960000,0.000000,bottom
"R22","10k","R_0402_1005Metric",122.170000,-99.240000,90.000000,bottom
"R25","75","R_0402_1005Metric",130.420000,-88.390000,-90.000000,bottom
"R26","75","R_0402_1005Metric",130.300000,-85.430000,90.000000,bottom
"R27","0","R_0402_1005Metric",128.760000,-85.770000,90.000000,bottom
"U1","TPS54302","SOT-23-6",138.090000,-105.800000,-90.000000,bottom
"U4","AP63205WU","TSOT-23-6",143.760000,-101.457500,180.000000,bottom
"U9","W25Q128JVSIQ","W25Q128JVSIQ",124.070000,-104.885000,-90.000000,bottom
"U13","AT7456E","AT7456E",137.640000,-89.262500,-90.000000,bottom
"U14","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",125.545000,-88.455000,90.000000,bottom
"Y2","27Mhz 20pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",144.290000,-88.200000,-90.000000,bottom
"C9","4.7uF","C_0402_1005Metric",145.630000,-95.260000,180.000000,top
"C17","1uF","C_0603_1608Metric",143.287500,-109.047500,180.000000,top
"C18","1uF","C_0603_1608Metric",143.410000,-83.540000,90.000000,top
"C19","1uF","C_0603_1608Metric",139.837500,-106.417500,90.000000,top
"C20","1uF","C_0603_1608Metric",138.180000,-83.270000,90.000000,top
"C21","10nF","C_0603_1608Metric",119.740000,-93.515000,0.000000,top
"C22","4.7uF","C_0603_1608Metric",122.990000,-88.805000,90.000000,top
